Iteración: 108, Fitness: 0.025841386101494224, Valores: [0.05917925018383543, 0.25, 12.155785006619196]
Iteración: 109, Fitness: 0.025841386101494224, Valores: [0.05917925018383543, 0.25, 12.155785006619196]
Iteración: 110, Fitness: 0.025841386101494224, Valores: [0.05917925018383543, 0.25, 12.155785006619196]
Iteración: 111, Fitness: 0.025841386101494224, Valores: [0.05917925018383543, 0.25, 12.155785006619196]
Iteración: 112, Fitness: 0.025841386101494224, Valores: [0.05917925018383543, 0.25, 12.155785006619196]
Iteración: 113, Fitness: 0.025841386101494224, Valores: [0.05917925018383543, 0.25, 12.155785006619196]
Iteración: 114, Fitness: 0.025841386101494224, Valores: [0.05917925018383543, 0.25, 12.155785006619196]
Iteración: 115, Fitness: 0.025841386101494224, Valores: [0.05917925018383543, 0.25, 12.155785006619196]
Iteración: 116, Fitness: 0.025841386101494224, Valores: [0.05917925018383543, 0.25, 12.155785006619196]
Iteración: 117, Fitness: 0.025841386101494224, Valores: [0.05917925018383543, 0.25, 12.155785006619196]
Iteración: 118, Fitness: 0.025841386101494224, Valores: [0.05917925018383543, 0.25, 12.155785006619196]
Iteración: 119, Fitness: 0.025841386101494224, Valores: [0.05917925018383543, 0.25, 12.155785006619196]
Iteración: 120, Fitness: 0.025841386101494224, Valores: [0.05917925018383543, 0.25, 12.155785006619196]
Iteración: 121, Fitness: 0.025841386101494224, Valores: [0.05917925018383543, 0.25, 12.155785006619196]
Iteración: 122, Fitness: 0.025841386101494224, Valores: [0.05917925018383543, 0.25, 12.155785006619196]
Iteración: 123, Fitness: 0.025841386101494224, Valores: [0.05917925018383543, 0.25, 12.155785006619196]
Iteración: 124, Fitness: 0.025841386101494224, Valores: [0.05917925018383543, 0.25, 12.155785006619196]
Iteración: 125, Fitness: 0.025841386101494224, Valores: [0.05917925018383543, 0.25, 12.155785006619196]
Iteración: 126, Fitness: 0.025841386101494224, Valores: [0.05917925018383543, 0.25, 12.155785006619196]
